          X  Y
216      0 ai55
217      1 ai55
218      0 ai45
219      0 ai35
220      1 ai35
221      1 ai45
222      0 ai75
223      0 ai55
224      0 ai35
225      0 ai35
226      0 ai75
227      0 ai45
228      0 ai35
229      0 ai55
230      0 ai45
231      1 ai75
232      0 ai45
233      0 ai45
234      0 ai45
235      0 ai55
236      0 ai45
237      0 ai75
238      1 ai25
239      0 ai75
240      0 ai75
241      0 ai75
242      0 ai55
243      0 ai55
244      0 ai55
245      0 ai75
246      0 ai75
247      0 ai75
248      0 ai55
249      0 ai25
250      0 ai45
251      0 ai55
252      0 ai55
253      0 ai75
254      0 ai35
255      1 ai55
256      0 ai75
257      0 ai45
258      0 ai45
259      0 ai55
260      0 ai75
261      0 ai45
262      0 ai45
263      1 ai35
264      0 ai45
265      0 ai55
266      0 ai75
267      0 ai55
268      0 ai35
269      0 ai55
270      1 ai35
271      0 ai55
272      0 ai25
273      0 ai25
274      1 ai35
275      0 ai45
276      0 ai75
277      0 ai35
278      0 ai55
279      0 ai35
280      0 ai35
281      0 ai35
282      0 ai55
283      0 ai45
284      0 ai25
285      0 ai55
286      1 ai55
287      0 ai55
288      0 ai45
289      0 ai35
290      0 ai55
291      0 ai35
292      1 ai45
293      0 ai35
294      0 ai25
295      0 ai25
296      0 ai75
297      1 ai45
298      0 ai25
299      0 ai45
300      0 ai35
301      0 ai25
302      0 ai25
303      0 ai55
304      0 ai35
305      0 ai45
306      0 ai45
307      0 ai55
308      0 ai75
309      1 ai35
310      1 ai55
311      0 ai75
312      0 ai25
313      0 ai35
314      0 ai45
315      0 ai55
316      0 ai35
317      0 ai55
318      0 ai25
319      0 ai25
320      0 ai35
321      1 ai75
322      0 ai25
323      0 ai25
324      0 ai55
325      0 ai55
326      0 ai45
327      0 ai35
328      0 ai75
329      0 ai55
330      0 ai35
331      0 ai45
332      0 ai25
333      0 ai25
334      0 ai25
335      0 ai55
336      0 ai75
337      0 ai75
338      0 ai25
339      0 ai55
340      0 ai45
341      1 ai35
342      0 ai45
343      0 ai35
344      0 ai35
345      0 ai55
346      0 ai75
347      0 ai55
348      0 ai55
349      0 ai75
350      1 ai35
351      0 ai45
352      0 ai25
353      0 ai75
354      0 ai75
355      1 ai35
356      0 ai45
357      0 ai55
358      0 ai75
359      0 ai25
360      0 ai55
361      0 ai55
362      1 ai55
363      0 ai45
364      0 ai55
365      0 ai35
366      0 ai45
367      1 ai25
368      0 ai35
369      0 ai55
370      0 ai35
371      0 ai45
372      0 ai55
373      0 ai45
374      0 ai35
375      0 ai75
376      0 ai45
377      0 ai45
378      0 ai45
379      0 ai35
380      0 ai35
381      1 ai35
382      0 ai45
383      0 ai45
384      0 ai75
385      0 ai45
386      0 ai35
387      0 ai35
388      0 ai55
389      0 ai55
390      0 ai55
391      0 ai45
392      0 ai45
393      0 ai55
394      0 ai35
395      0 ai45
396      0 ai55
397      0 ai45
398      0 ai35
399      1 ai45
400      0 ai55
401      0 ai45
402      0 ai45
403      0 ai25
404      0 ai45
405      0 ai35
406      0 ai35
407      0 ai55
408      0 ai25
409      0 ai45
410      0 ai45
411      0 ai35
412      0 ai45
413      0 ai35
414      0 ai45
415      0 ai35
416      0 ai45
417      0 ai75
418      0 ai35
419      0 ai55
420      0 ai45
421      0 ai45
422      1 ai45
423      0 ai45
424      0 ai55
425      0 ai45
426      0 ai75
427      0 ai55
428      0 ai45
429      0 ai75
430      0 ai75
431      0 ai35
432      0 ai55
433      0 ai55
434      1 ai75
435      0 ai35
436      0 ai75
437      0 ai35
438      0 ai35
439      0 ai45
440      0 ai55
441      1 ai45
442      0 ai75
443      0 ai75
444      0 ai75
445      1 ai25
446      0 ai35
447      1 ai75
448      0 ai35
449      0 ai45
450      0 ai45
451      0 ai55
452      1 ai75
453      0 ai75
454      0 ai45
455      0 ai75
456      0 ai45
457      0 ai45
458      0 ai35
459      0 ai55
460      0 ai35
461      0 ai45
462      0 ai35
463      0 ai75
464      0 ai75
465      0 ai45
466      1 ai35
467      0 ai45
468      0 ai55
469      0 ai45
470      0 ai35
471      0 ai45
472      0 ai35
473      0 ai45
474      0 ai55
475      0 ai55
476      0 ai75
477      0 ai55
478      0 ai45
479      0 ai45
480      0 ai55
481      0 ai75
482      0 ai55
483      0 ai75
484      0 ai35
485      0 ai55
486      0 ai55
487      0 ai55
488      0 ai45
489      0 ai75
490      0 ai45
491      0 ai35
492      0 ai25
493      0 ai25
494      0 ai35
495      0 ai35
496      0 ai45
497      0 ai45
498      0 ai35
499      0 ai35
500      0 ai45
501      1 ai35
502      0 ai35
503      0 ai35
504      0 ai35
505      0 ai35
506      1 ai35
507      1 ai35
508      0 ai35
509      0 ai35
510      0 ai35
511      0 ai75
512      0 ai45
513      0 ai55
514      0 ai45
515      0 ai35
516      0 ai45
517      0 ai25
518      0 ai45
519      0 ai45
520      0 ai35
521      0 ai25
522      0 ai55
523      0 ai55
524      0 ai45
525      0 ai45
526      0 ai45
527      0 ai25
528      0 ai55
529      0 ai35
530      0 ai55
531      0 ai75
532      1 ai55
533      0 ai55
534      0 ai25
535      0 ai35
536      1 ai55
537      0 ai35
538      0 ai45
539      0 ai55
540      0 ai35
541      0 ai45
542      0 ai25
543      0 ai45
544      0 ai75
545      1 ai75
546      0 ai25
547      0 ai35
548      0 ai45
549      0 ai25
550      0 ai55
551      0 ai75
552      0 ai35
553      0 ai35
554      0 ai75
555      0 ai35
556      0 ai45
557      1 ai25
558      0 ai25
559      0 ai55
560      0 ai45
561      0 ai35
562      0 ai45
563      0 ai35
564      0 ai45
565      0 ai35
566      0 ai25
567      1 ai55
568      0 ai75
569      0 ai55
570      0 ai55
571      0 ai55
572      0 ai75
573      0 ai45
574      0 ai45
575      0 ai45
576      0 ai75
577      0 ai45
578      0 ai75
579      0 ai75
580      0 ai35
581      0 ai25
582      0 ai25
583      0 ai25
584      0 ai75
585      0 ai75
586      0 ai45
587      0 ai45
588      0 ai55
589      0 ai35
590      0 ai35
591      0 ai75
592      0 ai55
593      0 ai75
594      0 ai75
595      0 ai55
596      0 ai75
597      0 ai55
598      0 ai75
599      0 ai75
600      0 ai25
601      0 ai75
602      0 ai45
603      0 ai75
604      0 ai75
605      0 ai25
606      0 ai35
607      0 ai35
608      0 ai25
609      0 ai35
610      0 ai35
611      0 ai75
612      0 ai75
613      0 ai55
614      0 ai55
615      0 ai55
616      0 ai35
617      0 ai35
618      0 ai75
619      0 ai35
620      0 ai55
621      0 ai55
622      0 ai55
623      0 ai45
624      0 ai45
625      0 ai45
626      0 ai75
627      0 ai45
628      0 ai45
629      0 ai75
630      0 ai45
631      0 ai35
632      0 ai45
633      0 ai55
634      0 ai45
635      0 ai55
636      0 ai45
637      0 ai75
638      0 ai75
639      0 ai25
640      0 ai75
641      0 ai45
642      0 ai55
643      0 ai75
644      0 ai55
645      0 ai55
646      0 ai45
647      0 ai75
648      0 ai75
649      0 ai45
650      1 ai45
651      0 ai35
652      0 ai45
653      0 ai75
654      0 ai55
655      0 ai75
656      0 ai75
657      0 ai55
658      0 ai35
659      0 ai75
660      0 ai55
661      0 ai45
662      0 ai55
663      0 ai45
664      0 ai75
665      0 ai75
666      0 ai55
667      0 ai45
668      0 ai55
669      0 ai55
670      0 ai45
671      0 ai75
672      0 ai45
673      0 ai45
674      0 ai75
675      0 ai45
676      0 ai45
677      1 ai35
678      0 ai45
679      0 ai75
680      0 ai75
681      0 ai75
682      0 ai75
683      0 ai75
684      0 ai55
685      0 ai75
686      0 ai75
687      0 ai45
688      0 ai75
689      1 ai45
690      0 ai45
691      0 ai35
692      0 ai45
693      0 ai55
694      0 ai55
695      0 ai35
696      0 ai55
697      0 ai55
698      0 ai45
699      0 ai75
700      0 ai75
701      0 ai75
702      0 ai55
703      0 ai45
704      0 ai35
705      0 ai55
706      0 ai45
707      0 ai45
708      0 ai45
709      0 ai45
710      0 ai35
711      0 ai35
712      0 ai45
713      0 ai75
714      0 ai45
715      0 ai35
716      0 ai45
717      0 ai45
718      0 ai45
719      0 ai45
720      0 ai75
721      0 ai75
722      0 ai35
723      1 ai45
724      0 ai45
725      0 ai55
726      0 ai55
727      0 ai55
728      0 ai45
729      0 ai45
730      0 ai55
731      0 ai55
732      0 ai55
733      0 ai55
734      0 ai75
735      0 ai45
736      0 ai55
737      0 ai75
738      0 ai75
739      0 ai75
740      0 ai45
741      0 ai75
742      0 ai45
743      0 ai55
744      0 ai55
745      1 ai75
746      0 ai75
747      0 ai55
748      0 ai55
749      0 ai35
750      0 ai75
751      0 ai55
752      0 ai45
753      0 ai75
754      0 ai55
755      0 ai55
756      0 ai55
757      0 ai35
758      0 ai55
759      0 ai35
760      0 ai45
761      0 ai75
762      0 ai55
763      0 ai55
764      0 ai35
765      0 ai75
766      0 ai75
767      0 ai55
768      0 ai45
769      0 ai45
770      0 ai35
771      0 ai45
772      0 ai45
773      0 ai55
774      0 ai55
775      0 ai45
776      0 ai45
777      0 ai45
778      0 ai75
779      0 ai25
780      0 ai55
781      1 ai45
782      0 ai75
783      1 ai55
784      0 ai55
785      0 ai45
786      0 ai75
787      0 ai45
788      0 ai75
789      0 ai55
790      0 ai45
791      0 ai45
792      0 ai25
793      0 ai55
794      0 ai75
795      0 ai55
796      0 ai75
797      0 ai75
798      0 ai35
799      0 ai75
800      0 ai75
801      0 ai35
802      0 ai45
803      0 ai35
804      0 ai45
805      0 ai45
806      0 ai45
807      0 ai75
808      0 ai75
809      0 ai75
810      0 ai75
